"","status","limit","mean","sd","n"
"1","Old","total",8515.48873413184,13260.1525289693,79058
"2","Old","5 minute",3154.0352232481,6429.35684000968,21023
"3","Old","20 minute",7561.39528107079,8438.19631134265,26611
"4","Old","45 minute",12910.3212837346,17751.205176943,31424
"5","New","total",12927.4690460248,19714.8999026815,9857
"6","New","5 minute",4495.63640713863,11590.5633834985,2478
"7","New","20 minute",10250.7668654921,13087.2504490377,3260
"8","New","45 minute",20118.5664938754,24773.4643416049,4119
"9","total","total",9004.59507090662,14189.5049325402,88915
